# Brightest 1000 stars, derived from the HYG star database
# https://codeberg.org/astronexus/hyg -- CC BY-SA 4.0
# name,ra_hours,dec_deg,mag,ci
Prima Hyadum,4.329889,15.627642,3.650,0.981
23 UMa,9.525453,63.061861,3.650,0.360
Bet Ser,15.769793,15.421826,3.650,0.073
The Ara,18.110520,-50.091477,3.650,-0.101
Zet-1 Aqr,22.480531,-0.019972,3.650,0.406
Nusakan,15.463818,29.105703,3.660,0.319
Tau Lib,15.644270,-29.777754,3.660,-0.177
Thuban,14.073165,64.375850,3.670,-0.049
Bet Ind,20.913498,-58.454155,3.670,1.250
Pi-4 Ori,4.853434,5.605104,3.680,-0.157
Alp Pyx,8.726539,-33.186385,3.680,-0.180
Del Sge,19.789795,18.534286,3.680,1.313
88 Aqr,23.157443,-21.172410,3.680,1.202
Fulu,0.616188,53.896909,3.690,-0.196
Chi Eri,1.932564,-51.608896,3.690,0.844
Saclateni,5.041301,41.075837,3.690,1.154
HD84810,9.754117,-62.507903,3.690,1.010
Taiyangshou,11.767515,47.779406,3.690,1.181
Nashira,21.668181,-16.662308,3.690,0.320
Tau-4 Eri,3.325278,-21.757864,3.700,1.614
Xi Her,17.962744,29.247880,3.700,0.935
Gam Psc,23.286094,3.282289,3.700,0.916
Pi-5 Ori,4.904193,2.440672,3.710,-0.179
Eta Lep,5.940082,-14.167700,3.710,0.337
HD64440,7.870288,-40.575786,3.710,1.012
Eps Ser,15.846935,4.477730,3.710,0.147
72 Oph,18.122496,9.563847,3.710,0.159
Alshain,19.921887,6.406763,3.710,0.855
Ran,3.548848,-9.458262,3.720,0.881
Electra,3.747927,24.113339,3.720,-0.105
Del Aur,5.992111,54.284656,3.720,1.010
Xi Cyg,21.082184,43.927852,3.720,1.609
Xi Tau,3.452820,9.732680,3.730,-0.082
109 Vir,14.770812,1.892885,3.730,-0.005
Grumium,17.892134,56.872643,3.730,1.177
Nu Oct,21.691253,-77.390046,3.730,1.008
Lam Aqr,22.876910,-7.579599,3.730,1.626
Baten Kaitos,1.857676,-10.335038,3.740,1.136
Gam Her,16.365338,19.153130,3.740,0.299
Tau Cyg,21.246517,38.045317,3.740,0.393
HD78004,9.069248,-47.097737,3.750,1.174
Gam Oph,17.798211,2.707276,3.750,0.043
Bet Dor,5.560421,-62.489825,3.760,0.640
Del Lep,5.855357,-20.879089,3.760,0.984
Bet Mon,6.480297,-7.033062,3.760,-0.113
Omi Sgr,19.078050,-21.741496,3.760,1.012
Iot-2 Cyg,19.495098,51.729779,3.760,0.148
Alp Lac,22.521515,50.282491,3.760,0.031
Miram,2.844945,55.895496,3.770,1.690
Nu Per,3.753232,42.578549,3.770,0.425
Secunda Hyadum,4.382247,17.542514,3.770,0.983
Sig Ori,5.645769,-2.600069,3.770,-0.190
Bet Vol,8.428951,-66.136890,3.770,1.132
HD74180,8.677103,-46.648744,3.770,0.670
Eta Ara,16.829760,-59.041378,3.770,1.562
Sualocin,20.660635,15.912072,3.770,-0.057
Zet Cap,21.444452,-22.411332,3.770,1.002
Iot Peg,22.116847,25.345112,3.770,0.435
Gam-2 Vol,7.145788,-70.498932,3.780,1.006
Iot Gem,7.428779,27.798080,3.780,1.024
Ups UMa,9.849867,59.038735,3.780,0.291
HD94510,10.891559,-58.853171,3.780,0.945
Zet Boo,14.685820,13.728300,3.780,0.044
Albali,20.794598,-9.495776,3.780,0.000
Misam,3.158258,44.857544,3.790,0.980
Praecipua,10.888526,34.214871,3.790,1.040
Dalim,3.201249,-28.987618,3.800,0.543
HD61555,7.647186,-26.803836,3.800,-0.159
Del Ser,15.580041,10.538867,3.800,0.268
Kap Cyg,19.285040,53.368459,3.800,0.950
31 Cyg,20.227196,46.741329,3.800,1.270
Theemin,4.592512,-30.562341,3.810,0.957
HD90853,10.464649,-58.739403,3.810,0.317
Gam CrB,15.712381,26.295637,3.810,0.020
Lam And,23.626056,46.458152,3.810,0.984
Alrescha,2.034117,2.763759,3.820,0.024
38 Lyn,9.314069,36.802597,3.820,0.066
Giausar,11.523407,69.331076,3.820,1.613
Marfik,16.515229,1.983923,3.820,0.022
Iot Her,17.657747,46.006332,3.820,-0.179
Mu Hya,10.434842,-16.836290,3.830,1.456
Phi Cen,13.971186,-42.100753,3.830,-0.224
Alp Aps,14.797701,-79.044751,3.830,1.433
Bet Ret,3.736593,-64.806903,3.840,1.133
Atik,3.738648,32.288248,3.840,0.022
The-1 Tau,4.476248,15.962181,3.840,0.952
HD76728,8.917457,-60.644609,3.840,-0.104
Rho Leo,10.546853,9.306586,3.840,-0.148
HD92139,10.621717,-48.225620,3.840,0.300
Gam Mus,12.541134,-72.132988,3.840,-0.157
Omi Her,18.125708,28.762488,3.840,-0.018
Polis,18.229392,-21.058834,3.840,0.195
Eps Dra,19.802850,70.267930,3.840,0.888
Alp Hor,4.233363,-42.294368,3.850,1.085
Bet Pic,5.788079,-51.066514,3.850,0.171
